iter	Passed	Remaining
0	248	247851
1	335	167239
2	424	141005
3	511	127384
4	610	121573
5	709	117527
6	809	114816
7	930	115366
8	1049	115541
9	1158	114659
10	1281	115227
11	1415	116523
12	1555	118099
13	1679	118279
14	1792	117708
15	1923	118280
16	2046	118328
17	2168	118314
18	2275	117484
19	2416	118392
20	2545	118691
21	2665	118489
22	2790	118532
23	2904	118114
24	3019	117745
25	3168	118683
26	3297	118832
27	3421	118766
28	3548	118802
29	3660	118346
30	3782	118248
31	3896	117879
32	4015	117677
33	4148	117866
34	4262	117521
35	4396	117733
36	4502	117179
37	4613	116805
38	4728	116521
39	4841	116198
40	4972	116311
41	5103	116412
42	5240	116623
43	5366	116607
44	5502	116770
45	5629	116758
46	5759	116783
47	5899	117010
48	6043	117292
49	6185	117517
50	6322	117646
51	6448	117555
52	6567	117350
53	6674	116933
54	6774	116398
55	6893	116199
56	7011	115999
57	7116	115573
58	7232	115346
59	7336	114939
60	7446	114622
61	7553	114281
62	7662	113964
63	7777	113739
64	7888	113471
65	8007	113320
66	8117	113036
67	8235	112875
68	8355	112739
69	8472	112561
70	8601	112548
71	8714	112317
72	8826	112089
73	8932	111777
74	9036	111446
75	9152	111273
76	9265	111065
77	9362	110674
78	9468	110383
79	9580	110179
80	9690	109949
81	9798	109691
82	9904	109431
83	10013	109200
84	10123	108977
85	10231	108737
86	10348	108601
87	10461	108419
88	10568	108174
89	10681	107999
90	10789	107780
91	10891	107494
92	10994	107227
93	11103	107021
94	11221	106895
95	11333	106720
96	11450	106594
97	11598	106752
98	11744	106883
99	11886	106975
100	12026	107052
101	12161	107066
102	12285	106989
103	12387	106727
104	12495	106509
105	12608	106338
106	12693	105936
107	12804	105752
108	12918	105602
109	13008	105252
110	13111	105009
111	13210	104737
112	13329	104631
113	13434	104415
114	13541	104213
115	13644	103982
116	13749	103768
117	13863	103625
118	13976	103474
119	14171	103921
120	14287	103791
121	14410	103707
122	14536	103648
123	14669	103630
124	14789	103523
125	14911	103434
126	15043	103406
127	15163	103299
128	15291	103249
129	15429	103261
130	15546	103128
131	15683	103132
132	15820	103127
133	15954	103109
134	16084	103057
135	16219	103044
136	16346	102969
137	16480	102944
138	16615	102921
139	16723	102729
140	16827	102516
141	16931	102305
142	17030	102062
143	17127	101811
144	17264	101802
145	17393	101741
146	17521	101674
147	17650	101610
148	17778	101541
149	17904	101457
150	18040	101432
151	18171	101379
152	18269	101137
153	18410	101140
154	18506	100891
155	18629	100790
156	18756	100714
157	18855	100481
158	18951	100240
159	19062	100077
160	19170	99900
161	19286	99767
162	19399	99613
163	19506	99435
164	19620	99290
165	19735	99155
166	19847	99001
167	19961	98854
168	20080	98740
169	20194	98598
170	20310	98465
171	20433	98365
172	20553	98253
173	20670	98123
174	20792	98022
175	20920	97946
176	21051	97885
177	21171	97770
178	21300	97695
179	21435	97650
180	21561	97561
181	21696	97512
182	21826	97443
183	21957	97378
184	22065	97207
185	22187	97101
186	22294	96928
187	22399	96747
188	22507	96581
189	22611	96396
190	22718	96225
191	22816	96017
192	22914	95815
193	23027	95672
194	23136	95512
195	23241	95337
196	23355	95199
197	23471	95070
198	23563	94844
199	23660	94641
200	23761	94453
201	23862	94268
202	23956	94055
203	24054	93860
204	24150	93655
205	24242	93441
206	24341	93248
207	24439	93058
208	24537	92866
209	24633	92668
210	24728	92468
211	24826	92280
212	24919	92073
